[1]: Epoch 1	0/0	Loss: 6.320	Accuracy: 0.076
[2]: Epoch 1	1/1	Loss: 5.338	Accuracy: 0.239
[3]: Epoch 1	2/2	Loss: 3.570	Accuracy: 0.285
[4]: Epoch 1	3/3	Loss: 4.232	Accuracy: 0.274
[5]: Epoch 1	4/4	Loss: 3.012	Accuracy: 0.335
[6]: Epoch 1	5/5	Loss: 2.820	Accuracy: 0.339
[7]: Epoch 1	6/6	Loss: 2.943	Accuracy: 0.341
[8]: Epoch 1	7/7	Loss: 2.612	Accuracy: 0.369
[9]: Epoch 1	8/8	Loss: 3.380	Accuracy: 0.324
[10]: Epoch 1	9/9	Loss: 2.994	Accuracy: 0.365
[11]: Epoch 1	10/10	Loss: 3.098	Accuracy: 0.331
[12]: Epoch 1	11/11	Loss: 2.727	Accuracy: 0.372
[13]: Epoch 1	12/12	Loss: 2.994	Accuracy: 0.314
[14]: Epoch 1	13/13	Loss: 3.045	Accuracy: 0.370
[15]: Epoch 1	14/14	Loss: 2.453	Accuracy: 0.391
[16]: Epoch 1	15/15	Loss: 2.479	Accuracy: 0.419
[17]: Epoch 1	16/16	Loss: 3.055	Accuracy: 0.311
[18]: Epoch 1	17/17	Loss: 2.812	Accuracy: 0.355
[19]: Epoch 1	18/18	Loss: 2.617	Accuracy: 0.372
[20]: Epoch 1	19/19	Loss: 2.708	Accuracy: 0.367
[21]: Epoch 1	20/20	Loss: 3.016	Accuracy: 0.340
[22]: Epoch 1	21/21	Loss: 2.500	Accuracy: 0.379
[23]: Epoch 1	22/22	Loss: 2.680	Accuracy: 0.364
[24]: Epoch 1	23/23	Loss: 2.571	Accuracy: 0.409
[25]: Epoch 1	24/24	Loss: 2.633	Accuracy: 0.404
[26]: Epoch 1	25/25	Loss: 2.707	Accuracy: 0.368
[27]: Epoch 1	26/26	Loss: 2.997	Accuracy: 0.373
[28]: Epoch 1	27/27	Loss: 2.393	Accuracy: 0.433
[29]: Epoch 1	28/28	Loss: 2.685	Accuracy: 0.342
[30]: Epoch 1	29/29	Loss: 2.472	Accuracy: 0.424
[31]: Epoch 1	30/30	Loss: 2.668	Accuracy: 0.399
[32]: Epoch 1	31/31	Loss: 2.729	Accuracy: 0.400
[33]: Epoch 1	32/32	Loss: 2.711	Accuracy: 0.382
[34]: Epoch 1	33/33	Loss: 2.615	Accuracy: 0.405
[35]: Epoch 1	34/34	Loss: 2.391	Accuracy: 0.426
[36]: Epoch 1	35/35	Loss: 2.508	Accuracy: 0.421
[37]: Epoch 1	36/36	Loss: 2.296	Accuracy: 0.436
[38]: Epoch 1	37/37	Loss: 2.525	Accuracy: 0.402
[39]: Epoch 1	38/38	Loss: 2.533	Accuracy: 0.408
[40]: Epoch 1	39/39	Loss: 2.995	Accuracy: 0.366
[41]: Epoch 1	40/40	Loss: 2.451	Accuracy: 0.391
[42]: Epoch 1	41/41	Loss: 2.356	Accuracy: 0.437
[43]: Epoch 1	42/42	Loss: 2.482	Accuracy: 0.385
[44]: Epoch 1	43/43	Loss: 3.019	Accuracy: 0.304
[45]: Epoch 1	44/44	Loss: 2.253	Accuracy: 0.478
[46]: Epoch 1	45/45	Loss: 2.406	Accuracy: 0.418
[47]: Epoch 1	46/46	Loss: 2.454	Accuracy: 0.438
[48]: Epoch 1	47/47	Loss: 2.932	Accuracy: 0.357
[49]: Epoch 1	48/48	Loss: 2.485	Accuracy: 0.424
[50]: Epoch 1	49/49	Loss: 2.422	Accuracy: 0.408
[51]: Epoch 1	50/50	Loss: 2.552	Accuracy: 0.399
[52]: Epoch 1	51/51	Loss: 2.337	Accuracy: 0.391
[53]: Epoch 1	52/52	Loss: 2.407	Accuracy: 0.407
[54]: Epoch 1	53/53	Loss: 2.644	Accuracy: 0.411
[55]: Epoch 1	54/54	Loss: 2.632	Accuracy: 0.375
[56]: Epoch 1	55/55	Loss: 2.667	Accuracy: 0.381
[57]: Epoch 1	56/56	Loss: 2.263	Accuracy: 0.473
[58]: Epoch 1	57/57	Loss: 2.742	Accuracy: 0.394
[59]: Epoch 1	58/58	Loss: 2.328	Accuracy: 0.412
[60]: Epoch 1	59/59	Loss: 2.713	Accuracy: 0.426
[61]: Epoch 1	60/60	Loss: 2.389	Accuracy: 0.448
[62]: Epoch 1	61/61	Loss: 2.369	Accuracy: 0.439
[63]: Epoch 1	62/62	Loss: 2.284	Accuracy: 0.446
[64]: Epoch 1	63/63	Loss: 2.905	Accuracy: 0.384
[65]: Epoch 1	64/64	Loss: 2.499	Accuracy: 0.417
[66]: Epoch 1	65/65	Loss: 2.409	Accuracy: 0.440
[67]: Epoch 1	66/66	Loss: 2.472	Accuracy: 0.423
[68]: Epoch 1	67/67	Loss: 2.294	Accuracy: 0.457
